Gender,City,College,Course,State,Conversion Status
Male,Thrissur,Engineering,Btech-IT,Kerala,Not Converted
Male,Alappuzha,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Idukki,Engineering,Btech-IT,Kerala,Not Converted
Female,Idukki,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Male,Telangana,Engineering,Others,Outside Kerala,Not Converted
Male,Thrissur,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Idukki,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Alappuzha,Engineering,MCA,Kerala,Not Converted
Female,Tamil Nadu,Engineering,Others,Outside Kerala,Not Converted
Female,Palakkad,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Female,Tamil Nadu,Engineering,Others,Outside Kerala,Not Converted
Male,Alappuzha,Engineering,Btech-IT,Kerala,Not Converted
Female,Nepal,Engineering,Others,Outside Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Female,Thrissur,"Arts & Science, Commerce",MSc-IT,Kerala,Converted
Male,Ernakulam,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Karnataka,Engineering,Others,Outside Kerala,Not Converted
Female,Thrissur,Engineering,Btech-IT,Kerala,Not Converted
Female,Kottayam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Alappuzha,Engineering,Btech-IT,Kerala,Not Converted
Male,New Delhi,Engineering,Others,Outside Kerala,Not Converted
Female,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,Engineering,Others,Kerala,Not Converted
Female,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Female,Ernakulam,Engineering,Mtech-IT,Kerala,Not Converted
Female,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Karnataka,Engineering,Others,Outside Kerala,Not Converted
Male,Telangana,Engineering,Others,Outside Kerala,Not Converted
Male,Telangana,Engineering,Others,Outside Kerala,Not Converted
Male,Kottayam,Engineering,Btech-IT,Kerala,Not Converted
Male,Thiruvananthapuram,"Arts & Science, Commerce",Diploma-IT,Kerala,Not Converted
Male,New Delhi,Engineering,Others,Outside Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",MSc-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,MCA,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Thiruvananthapuram,Engineering,Others,Kerala,Not Converted
Male,Jharkhand,Engineering,Others,Outside Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,Engineering,MCA,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Alappuzha,Engineering,Btech-IT,Kerala,Not Converted
Male,Kasargode,Engineering,Btech-IT,Kerala,Converted
Male,Telangana,Engineering,Others,Outside Kerala,Not Converted
Female,Idukki,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,MCA,Kerala,Not Converted
Male,Uttar Pradesh,Engineering,Others,Outside Kerala,Not Converted
Male,Malappuram,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Female,Alappuzha,"Arts & Science, Commerce",BSc-IT,Kerala,Not Converted
Male,Karnataka,Engineering,Others,Outside Kerala,Not Converted
Male,Karnataka,Engineering,Others,Outside Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Kottayam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Kannur,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,Engineering,Btech-IT,Kerala,Not Converted
Male,Thrissur,Engineering,Btech-IT,Kerala,Not Converted
Male,Kannur,Engineering,Btech-IT,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Converted
Male,Ernakulam,Engineering,Others,Kerala,Not Converted
Male,Kottayam,Engineering,MCA,Kerala,Not Converted
Male,Ernakulam,Engineering,Others,Kerala,Not Converted
Male,Alappuzha,Engineering,Btech-IT,Kerala,Not Converted
Male,Thrissur,Engineering,Btech-IT,Kerala,Not Converted
Male,Thiruvananthapuram,Engineering,Others,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
Male,Ernakulam,"Arts & Science, Commerce",BCA,Kerala,Not Converted
